Genus	Species	Samplinglocation	Country	Year	Date	Sample number (on tube or bag)	Individual number	Extraction y/n?	Extraction date	Sex	Status	Sampled by	Sample type	Place of capture	Reproductive status	Weight	Length	Tail length	Latitude	Longitude	Remarks	Latitude (swiss)	Longitude (swiss)	Microsat	Cytochrom b	Control region	avpr1a	Specimen-20	"GewebeRack Number in Fridge oder -20C oder -80C, Gut samples"	DNADNA_.Number.in..20	RNARNA_.Number.in..80	Lung.Tissue	Screened? (TULV)	Positive? (TULV)	S-Segment	M-Segment	L-Segment	Genome	Swab 2 Tubes per Sample	Published	Add								
Microtus	arvalis	"Piemonte,VerbanoCusioOssola,Domodossola"	Italy	1876		11115	MarIMu01			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Piemonte,VerbanoCusioOssola,Domodossola"	Italy	1876		11116	MarIMu02			f		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Piemonte,VerbanoCusioOssola,Domodossola"	Italy	1876		11119	MarIMu03			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Piemonte,VerbanoCusioOssola,Domodossola"	Italy	1876		11120	MarIMu04			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Piemonte,Torino,susa,MonteCenisio(pressoanticaPosta)"	Italy	1876		11148	MarIMu17			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Veneto,Belluno"	Italy	1878		11149	MarIMu18					"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis		Italy	1884		11123	MarIMu05			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Veneto,Venezia,Caorle"	Italy	1885		11135	MarIMu10			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Veneto,Venezia,Caorle"	Italy	1885		11136	MarIMu11			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Veneto,Venezia,Caorle"	Italy	1885		11137	MarIMu12			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
Microtus	arvalis	"Veneto,Venezia,Caorle"	Italy	1885		11138	MarIMu13			m		"Dr. Paolo Agnelli Museo Zoologico "" La Specola"" -Sezione der Museo di Storia Naturale Universita degli Studi di Firenze"	"Tissue in ETOH, ev. vorher in Formaldehyd, Samples degraded ev. "																Rack02																				
